2007-01-25,09:00:37,PL0GPWF05967,FW20M7,34610,1
2007-01-25,09:00:39,PL0GPWF05967,FW20M7,34610,2
2007-01-25,09:00:41,PL0GPWF05785,FW20H7,34690,1
2007-01-25,09:00:41,PL0GPWF05785,FW20H7,34690,3
2007-01-25,09:00:41,PL0GPWF05785,FW20H7,34690,5
2007-01-25,09:00:41,PL0GPWF05785,FW20H7,34690,5
2007-01-25,09:00:42,PL0GPWF05785,FW20H7,34700,27
2007-01-25,09:00:42,PL0GPWF05785,FW20H7,34690,6
2007-01-25,09:00:42,PL0GPWF05785,FW20H7,34690,17
2007-01-25,09:00:44,PL0GPWF05785,FW20H7,34680,2
2007-01-25,09:00:45,PL0GPWF05785,FW20H7,34700,3
2007-01-25,09:00:48,PL0GPWF05785,FW20H7,34700,50
2007-01-25,09:00:50,PL0GPWF05785,FW20H7,34690,1
2007-01-25,09:00:50,PL0GPWF05785,FW20H7,34690,1
2007-01-25,09:00:52,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:53,PL0GPWF05785,FW20H7,34720,1
2007-01-25,09:00:53,PL0GPWF05785,FW20H7,34700,25
2007-01-25,09:00:53,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:54,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:54,PL0GPWF05785,FW20H7,34720,4
2007-01-25,09:00:54,PL0GPWF06148,FW20U7,34470,1
2007-01-25,09:00:56,PL0GPWF05785,FW20H7,34720,1
2007-01-25,09:00:59,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:01:02,PL0GPWF05785,FW20H7,34730,4
2007-01-25,09:01:02,PL0GPWF05785,FW20H7,34720,1
2007-01-25,09:01:03,PL0GPWF05785,FW20H7,34700,10
2007-01-25,09:01:04,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:01:05,PL0GPWF05785,FW20H7,34700,11
2007-01-25,09:01:06,PL0GPWF05785,FW20H7,34700,5
2007-01-25,09:01:08,PL0GPWF05785,FW20H7,34680,1
2007-01-25,09:01:10,PL0GPWF05785,FW20H7,34700,3
2007-01-25,09:01:10,PL0GPWF05785,FW20H7,34700,9
2007-01-25,09:01:14,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:01:15,PL0GPWF05785,FW20H7,34710,2
2007-01-25,09:01:16,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:01:21,PL0GPWF05785,FW20H7,34710,1
2007-01-25,09:01:25,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:01:27,PL0GPWF05785,FW20H7,34700,3
2007-01-25,09:01:29,PL0GPWF05785,FW20H7,34720,2
2007-01-25,09:01:29,PL0GPWF05785,FW20H7,34720,2
2007-01-25,09:01:31,PL0GPWF05785,FW20H7,34700,5
2007-01-25,09:01:31,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:01:31,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:01:31,PL0GPWF05785,FW20H7,34700,32
2007-01-25,09:01:32,PL0GPWF05785,FW20H7,34690,1
2007-01-25,09:01:33,PL0GPWF05785,FW20H7,34700,25
2007-01-25,09:01:33,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:01:35,PL0GPWF05785,FW20H7,34700,5
2007-01-25,09:01:37,PL0GPWF05785,FW20H7,34690,1
2007-01-25,09:01:38,PL0GPWF05785,FW20H7,34700,25
2007-01-25,09:01:40,PL0GPWF05785,FW20H7,34700,4
2007-01-25,09:01:41,PL0GPWF05785,FW20H7,34700,1
